Año,Categoría,LB_Proyectada,% Meta,Ton_a_Cumplir
2025,Multimaterial,156335.28,20.0,31267.06
2025,Botellas_Liquidos,4290.28,25.0,1072.57
2025,Otros_PSU,699.26,10.0,69.93
2025,PEAD,319.51,15.0,47.93
2025,PET,3106.62,25.0,776.66
2025,PET_Reciclado,183.91,10.0,18.39
2025,CC,3343.48,10.0,334.35
2026,Multimaterial,161025.34,25.0,40256.34
2026,Botellas_Liquidos,4418.99,30.0,1325.7
2026,Otros_PSU,720.24,15.0,108.04
2026,PEAD,329.1,20.0,65.82
2026,PET,3199.82,30.0,959.95
2026,PET_Reciclado,189.42,15.0,28.41
2026,CC,3443.79,15.0,516.57
2027,Multimaterial,165856.1,30.0,49756.83
2027,Botellas_Liquidos,4551.56,35.0,1593.05
2027,Otros_PSU,741.84,20.0,148.37
2027,PEAD,338.97,25.0,84.74
2027,PET,3295.82,35.0,1153.54
2027,PET_Reciclado,195.11,20.0,39.02
2027,CC,3547.1,20.0,709.42
2028,Multimaterial,170831.79,35.0,59791.13
2028,Botellas_Liquidos,4688.1,40.0,1875.24
2028,Otros_PSU,764.1,25.0,191.02
2028,PEAD,349.14,30.0,104.74
2028,PET,3394.69,40.0,1357.88
2028,PET_Reciclado,200.96,25.0,50.24
2028,CC,3653.51,25.0,913.38
2029,Multimaterial,175956.74,40.0,70382.7
2029,Botellas_Liquidos,4828.75,45.0,2172.94
2029,Otros_PSU,787.02,30.0,236.11
2029,PEAD,359.62,35.0,125.87
2029,PET,3496.53,45.0,1573.44
2029,PET_Reciclado,206.99,30.0,62.1
2029,CC,3763.12,30.0,1128.94
2030,Multimaterial,181235.44,45.0,81555.95
2030,Botellas_Liquidos,4973.61,50.0,2486.8
2030,Otros_PSU,810.63,35.0,283.72
2030,PEAD,370.4,40.0,148.16
2030,PET,3601.43,50.0,1800.71
2030,PET_Reciclado,213.2,35.0,74.62
2030,CC,3876.01,35.0,1356.6
